Attendance,Attendance Status,Bonus,Date,Director,Email,Gender,Job Level,Month,Name,Please enter your feedback,Please enter your score,Please select your location,Quarter,Salary,Senior Manager,Team,Training
Absent,20,2063.69,2025-01-07,Curtis James,ericstrong@yahoo.com,Female,Junior,December,Thomas Gilbert,Evening red happy officer tonight each.,1,London,Q1,101162.32,Kyle Collins,Sales,Pending
Absent,15,2660.78,2025-03-03,Dana Williams,stevenevans@santos-brown.com,Male,Mid,February,Caroline Garcia,Travel physical fill need decide detail specific teach.,7,Sydney,Q2,43122.47,Julie Todd,Sales,In Progress
Absent,35,4972.37,2025-05-01,Calvin Irwin,flemingjeremiah@haynes-wilkins.com,Female,Senior,July,Robert Jones,During prevent really test herself economy.,9,London,Q1,65666.1,Christian Martinez,Sales,Pending
Present,38,4337.49,2025-04-20,David Rodriguez,fkennedy@morales.org,Female,Senior,January,Christine Foster,Six increase compare employee different wall lay study outside meet.,5,New York,Q3,66273.07,Penny Turner,Marketing,Pending
Present,17,1258.6,2025-05-06,Gavin Hughes,jasonsilva@stewart.biz,Male,Lead,September,Miguel Short,Specific pay him so PM away mind.,9,Sydney,Q4,86479.38,Timothy Case,Sales,Completed
Present,96,2870.93,2025-01-16,Angela Aguirre DDS,hsmith@beasley.com,Female,Senior,December,John Espinoza,His lay raise light maybe piece last expect.,9,Tokyo,Q2,96381.48,James Hansen,HR,In Progress
Present,8,2561.7,2025-02-15,Michael Lewis,lukebrooks@morrison.com,Other,Senior,May,Erik Perez,Positive letter of would anyone fish training above production.,3,Sydney,Q2,79562.2,Kelly Dunn,Support,Completed
Absent,74,1510.75,2025-03-25,Shannon Estrada,pamelahawkins@wilkerson-johnson.com,Female,Senior,April,Kathryn Diaz,Table professor pass determine girl tax finally rather wind fact although so.,4,Sydney,Q2,45265.72,Evelyn Morales,HR,Completed
Present,61,2842.57,2025-02-18,Rhonda Vargas,davisdaniel@gmail.com,Male,Lead,May,Andrea Curry,Career down take successful election act national thousand home.,6,London,Q4,61156.37,Alicia Hall,Development,In Progress
Absent,86,2543.75,2025-04-05,Kyle Pope,charles00@sanchez.biz,Female,Lead,August,Stephanie Reed,Hot local other reality charge reduce soon center.,5,Mumbai,Q3,71549.39,Daniel Moore,Marketing,Completed
Present,46,2869.98,2025-04-17,Vicki Reid,owilliams@clark.com,Other,Lead,November,Charles Hodge,Grow themselves best will how indicate.,4,New York,Q1,93686.5,Austin Jacobs,HR,In Progress
Absent,61,2759.16,2025-02-17,Jennifer Johnson,uhardin@norris.com,Other,Senior,May,Brian Ferguson,There person upon card wide sometimes impact.,10,Tokyo,Q2,115279.49,Isaac Walter,Sales,In Progress
Absent,13,3736.56,2025-04-05,Danielle Newton,joan47@gmail.com,Male,Mid,December,Laura Hill,Down sound same hear family court court edge serve most season travel.,3,New York,Q2,96192.65,Lisa Porter,HR,Pending
Present,49,1156.75,2025-04-22,Carolyn Harris,jameskim@hotmail.com,Female,Mid,July,Samantha Solis,Operation whether fight as bar difficult citizen these clear new.,10,New York,Q2,30930.03,Brooke Miranda,Support,Pending
Absent,74,3279.37,2025-03-06,Mr. David Macdonald,gbarber@gmail.com,Female,Lead,June,Joseph Diaz,Throw future success day from even.,5,New York,Q4,61754.62,Kristi Diaz,Marketing,Completed
Absent,30,1285.56,2025-02-23,Penny Thomas,jefferysmith@yahoo.com,Male,Mid,April,Aaron Palmer,Green environment either today truth month page.,7,Mumbai,Q4,42294.05,Monica Carpenter,HR,In Progress
Absent,5,2978.11,2025-02-19,Dennis Hayes,jo27@yahoo.com,Female,Junior,May,Danielle Wilson,Story third agreement Congress civil sometimes public partner foot coach professor.,1,Sydney,Q1,41636.49,Colin Pittman,Support,Completed
Absent,75,1006.94,2025-05-03,Dale Miles,catherine39@yahoo.com,Female,Junior,August,Juan Kennedy,Base never test detail arrive action near movement story south though seek head.,9,Sydney,Q3,109522.57,Robert Cook,Marketing,Pending
Absent,76,2752.43,2025-01-13,Daniel Stewart DVM,andrew69@gmail.com,Other,Lead,June,Melissa Davis,Huge full discover product community here any head performance yard early similar building.,3,Sydney,Q2,82388.08,Lindsay Trujillo,Marketing,Pending
Absent,98,4516.09,2025-01-17,Anita Alvarez,hacevedo@hotmail.com,Male,Senior,July,Troy Reynolds,Both fear soldier allow wife deep understand against make subject there democratic.,8,New York,Q4,56418.77,William Ramos,Marketing,In Progress
Present,48,4073.86,2025-05-07,Mr. Walter Cantu,swilliams@gmail.com,Male,Mid,August,Jacob Dawson,According cup worker letter dog modern win.,10,London,Q3,97973.81,Benjamin Martinez,Development,Pending
Absent,48,2649.39,2025-02-03,Diane Davis,xwolfe@matthews.com,Male,Lead,June,Virginia Farrell,Rest beautiful suddenly example oil experience such including simply whom.,7,London,Q1,86450.29,Justin Lowery,Support,Pending
Absent,83,1928.32,2025-03-09,Steven Allen,weaverrobert@bennett.com,Male,Senior,December,Linda Love,Into serious family responsibility than too.,1,London,Q3,70911.52,Roger Martinez,Marketing,Pending
Present,64,1767.91,2025-01-01,Mrs. Mikayla Morrison DVM,joseph34@tran.com,Male,Junior,December,Jonathan Cox,Anyone model color party physical decide song high.,8,Mumbai,Q3,41013.32,Joshua Moore,Sales,Pending
Absent,1,4542.01,2025-01-26,Justin Ford,jeffrey87@meyer.com,Female,Lead,October,Elizabeth Macdonald,Season do similar determine various how foreign student save.,8,Mumbai,Q1,105546.85,Casey Berry,Support,Pending
Absent,77,1823.76,2025-04-17,Edwin Peterson,millerjacqueline@hotmail.com,Male,Mid,October,Jesus Villegas,Floor born wrong later poor nice finish leader.,7,Mumbai,Q4,38913.17,Peggy Martin,Sales,Completed
Present,15,4106.27,2025-03-06,Jamie Harris,ramosbridget@beck-lawson.com,Male,Lead,December,Cindy Stafford,Professional hope structure voice wait know Republican somebody protect Mr former for let.,4,Tokyo,Q2,80345.49,Matthew Klein,HR,Pending
Absent,36,4916.78,2025-04-26,Brian Wu,maria41@hotmail.com,Female,Mid,June,Eric Miller,Stock prepare performance black pay training magazine staff group commercial work.,10,London,Q3,34135.81,Amy Chapman,Support,Pending
Absent,65,2732.91,2025-01-14,Raymond Diaz,sergio06@turner-skinner.com,Male,Senior,June,Angela Bush,Ago old record especially different age process front option hard address.,7,Mumbai,Q1,107932.72,Thomas Williams,Marketing,Completed
Present,26,2865.11,2025-01-28,Lori Taylor,ejones@yahoo.com,Male,Junior,August,Joseph Rodriguez,Step senior hour individual dream yourself stage else.,1,Tokyo,Q3,43827.46,Maria Braun,Marketing,Completed
Absent,44,2366.72,2025-04-22,Diana Hale,nicholasortiz@cruz.biz,Female,Senior,December,Adam Bell,Style old campaign certainly win lay trade history.,1,London,Q1,70267.75,Sarah Lopez,Sales,In Progress
Absent,81,4977.57,2025-01-29,Casey Wright,andrewbarker@santos-brown.com,Female,Junior,May,Brittany Brown,Identify voice recently field ok five artist exactly clear age form born.,6,New York,Q2,67004.4,Jessica Lewis,Marketing,Completed
Absent,60,3184.59,2025-01-19,William Kennedy,brian63@hernandez.com,Male,Junior,January,Christina Porter,Little clear policy name able stuff evidence yeah environment affect energy reveal north.,2,Tokyo,Q4,102480.95,Stephen Garcia,Support,Pending
Present,33,2810.27,2025-03-08,Tyler Brown,allisoncharles@graves-brown.com,Male,Senior,October,Darrell Perez,On everybody red child since who community far.,2,London,Q1,112527.35,Timothy Gonzalez,Support,Pending
Present,17,3686.05,2025-04-11,Lisa Coleman,robinsonbrittney@russell-mccoy.com,Other,Senior,January,Michael Harrington,Shake learn music brother he major about and.,1,Tokyo,Q2,109233.31,Joy Morris,Support,Pending
Absent,21,3441.25,2025-02-04,Glenda Turner,elizabeth99@hotmail.com,Female,Lead,November,Rhonda Smith,Itself staff chair base provide professor nice seek population into plan kid water.,9,Sydney,Q3,106820.11,Devin Fischer,HR,Completed
Absent,93,3789.22,2025-03-07,David Bishop,nicholassanchez@king-torres.org,Female,Senior,July,Derek Wright,Door year budget number age sign.,3,Mumbai,Q4,60759.81,Lori Cantu MD,Marketing,Completed
Present,32,4579.11,2025-04-24,Edward Harris,etran@campbell.com,Other,Lead,March,Michael Ramsey,It nor executive worry food under international issue how meet woman break.,10,Mumbai,Q2,103491.3,Ashlee Gordon,Development,Completed
Absent,84,2790.6,2025-01-08,Nathan Dudley,markwilliams@johnson.info,Female,Mid,October,Anthony Hardin,Training body leave while relate discover deal ok moment certainly its yourself.,1,New York,Q4,67871.36,Crystal Garcia,Support,Pending
Present,8,1279.26,2025-01-07,Nicholas Macias,bryanmarsh@hotmail.com,Other,Senior,February,Brittany Ramos,Walk boy protect debate good face.,8,Tokyo,Q3,89929.46,Alicia Villanueva,Marketing,In Progress
Absent,94,2301.26,2025-01-23,Ricardo Cook,silvarodney@yahoo.com,Female,Junior,November,John Brown,Skin evening suddenly similar head religious town industry policy crime.,1,New York,Q4,102297.56,Toni Hamilton,Marketing,Pending
Present,2,1000.28,2025-02-26,Gregory Andrews,rtaylor@jacobs.com,Other,Senior,April,Lisa Smith,Activity test election place include city college fire artist side go.,3,New York,Q2,95627.74,Tyler Garcia,Marketing,In Progress
Absent,4,3632.72,2025-04-26,Raymond Adams,feliciajohnson@hotmail.com,Female,Senior,October,Rebecca Smith,Site nothing practice maintain itself system.,4,New York,Q2,76198.25,Carla Osborne,Sales,Pending
Absent,32,1484.4,2025-05-11,Jordan Calderon,emilyorozco@hotmail.com,Male,Junior,May,Alicia Clark,Only able himself stock air color discover may reduce air program dog you.,3,Sydney,Q3,35753.46,Tracy Ramos,Support,Completed
Present,23,3276.37,2025-03-04,Steven Guzman,davidmorris@gmail.com,Male,Lead,December,Guy Blevins,What another wind anything visit enjoy want usually water world physical organization.,4,New York,Q4,69145.47,Gerald Nash,HR,Completed
Present,25,2533.35,2025-04-06,Monique Ashley,jasminemurillo@perry.net,Female,Lead,December,Jennifer Oconnell,Break soon chance season three others mission finally.,9,London,Q2,40639.15,Jessica Alvarez,Sales,Completed
Absent,20,1331.24,2025-02-10,Jordan Roberts,bentleyanna@moreno.com,Female,Mid,March,Jennifer Fernandez,East model rule police reach look positive expert current carry office product.,3,London,Q4,49617.17,Laura Byrd,Development,In Progress
Absent,63,3477.71,2025-01-18,Jenna Ramos,rowejennifer@gmail.com,Female,Junior,June,Brandon Powell,Owner increase control prevent chair dinner face doctor present scientist this.,10,London,Q2,44929.31,Jared Bailey,Development,Completed
Absent,65,3591.06,2025-04-27,Melissa Morales,ballsandra@flowers.net,Female,Lead,November,Shirley Roberts,Recently above marriage approach exactly another real.,2,Mumbai,Q4,95935.86,Sabrina Butler,HR,Completed
Absent,1,3606.72,2025-01-17,Pamela Stevens,zkemp@macdonald-ray.com,Male,Mid,May,Darryl Camacho,Hospital fall west know cut begin live.,9,Sydney,Q1,80552.8,Gabrielle Lamb,Marketing,In Progress
Absent,32,4709.72,2025-02-17,Jenny Mcgee,patriciahaynes@anderson.com,Male,Lead,October,Alexis Hunter,Happen individual process task future matter treat.,8,Mumbai,Q2,52728.69,Bryan Cox MD,Sales,Completed
Absent,67,1242.98,2025-02-16,Anna Williams,qrobinson@gmail.com,Female,Senior,November,David Evans,Ask tend myself scientist today receive goal election executive share situation.,10,New York,Q4,36201.26,Frank Moore,Marketing,Pending
Present,49,1359.52,2025-03-08,Kaitlyn Hernandez,williamscheryl@hotmail.com,Other,Mid,July,Kristin Evans,Fall itself sense say final true single glass entire skin much current organization.,1,London,Q4,53616.52,Erica Cohen,Support,Pending
Present,93,2001.05,2025-03-07,Shane Stephens,melissalambert@mathews-maxwell.com,Other,Senior,March,Alyssa Brady,In hit staff nearly office free thing tend town simply send.,9,London,Q2,70326.85,Dustin Neal,Marketing,Pending
Absent,89,1401.28,2025-04-29,Stephen Reynolds,zlambert@hotmail.com,Male,Lead,July,Justin Medina,Feel far manager shake effect help make cover politics room get church indicate.,4,Mumbai,Q4,35735.37,Brian Burke PhD,HR,In Progress
Absent,57,4254.16,2025-03-09,Antonio Price,allenlisa@garcia.info,Female,Junior,November,Madison Watson,Page that industry ago become available have.,2,Tokyo,Q3,76371.03,David Norman,Marketing,Completed
Present,34,4890.92,2025-02-17,Marc Ford,morrowchristopher@gmail.com,Female,Senior,January,Amanda Hall,Continue hope suddenly lawyer star audience leg beat go.,9,Mumbai,Q3,38946.97,Albert Hayes,HR,In Progress
Present,52,4131.19,2025-05-08,Henry Jenkins,alexanderdavid@yahoo.com,Female,Junior,August,William Peterson,Travel stay writer PM community past two year PM kid.,6,Tokyo,Q3,54662.07,Janice Smith,HR,In Progress
Absent,2,2471.52,2025-05-12,Zachary Burgess,williambradford@yahoo.com,Other,Lead,February,Thomas Potter,Century bar region street program fear huge now wife.,5,New York,Q1,107999.48,Maureen Johnson,HR,In Progress
Present,82,4187.51,2025-01-24,Tracy Fox,lsmith@espinoza.com,Male,Mid,September,Gregory Daniels,Oil will happy how how government hour material suffer lead.,6,Sydney,Q1,80999.68,Cody Norris,HR,Pending
Absent,90,3413.49,2025-03-12,Dominique Serrano,christopherbryant@gmail.com,Other,Mid,December,Jason Gill,All move believe help officer argue Republican various point.,10,Tokyo,Q4,63708.9,Ian Garcia,HR,Pending
Absent,60,4613.55,2025-04-05,Melissa Lowe,jarvisalex@smith-shah.com,Other,Senior,July,Robert Zamora,Which its simply kid popular oil then.,3,Sydney,Q1,69156.18,Danielle Moore,Development,Pending
Absent,67,2660.02,2025-04-17,Christopher Carson,virginiawebster@yahoo.com,Other,Lead,October,Amy Chen,Score stuff cell big year picture century dark natural account.,2,London,Q4,44576.02,Jasmine Williams,HR,In Progress
Absent,21,1554.96,2025-03-30,Tyler Williams,felicia07@stanton-russo.info,Male,Mid,January,Craig Guzman,Reflect reveal lay first understand would drive.,10,Sydney,Q2,62403.68,Gerald Johnson,HR,In Progress
Absent,50,2860.04,2025-04-01,Christopher Anderson,xmorgan@brown-perez.com,Other,Mid,December,Lori Hunt,About measure choice start financial oil daughter need avoid huge rate color.,1,London,Q4,115738.26,Juan Wang,Development,Pending
Absent,24,3873.04,2025-03-12,Andrea Velasquez,marcograves@fields.info,Male,Senior,December,Diane Ponce,Artist year defense democratic lose live behavior station.,5,Mumbai,Q1,62161.82,Brianna Fuller,HR,In Progress
Absent,78,1705.44,2025-01-26,Kristen Hicks,thompsonnatalie@hansen.com,Other,Junior,August,Ryan Martinez,Because apply study father far play baby dark move soon herself name out.,10,Sydney,Q2,72234.77,Cameron Frost,Sales,Pending
Absent,43,2927.12,2025-03-23,Jeffrey Stewart,wjones@hanson-bridges.com,Other,Senior,February,Jessica Rodriguez,Marriage until where manage room newspaper them.,4,Tokyo,Q3,75882.36,Joseph Adams,Support,Completed
Absent,7,3185.58,2025-01-20,Jennifer Ortiz,vtaylor@craig.com,Male,Mid,May,Misty Mullins,Open husband rather month candidate determine always never so.,6,Tokyo,Q4,92389.59,Sean Jones,Sales,Pending
Absent,14,2620.14,2025-01-27,Lauren Williams,kzimmerman@gmail.com,Male,Junior,April,Miguel Adams,Whole fill risk just three enjoy.,1,London,Q4,100353.4,Jennifer Russell,Sales,Pending
Absent,69,4907.97,2025-03-07,Sarah Montgomery DVM,qbaldwin@yahoo.com,Other,Mid,May,Joseph Alvarez,Recently present suddenly career station trip.,6,London,Q4,52733.95,Bill Watson,Support,Completed
Present,61,1293.2,2025-01-18,Tara Foster,crystal57@gmail.com,Other,Mid,February,Tara Reed,Own training science sell glass sing eat forward card.,1,Mumbai,Q4,107051.3,Kelly Bender,HR,Completed
Absent,18,1413.23,2025-04-10,Erica Brown,powellgail@hotmail.com,Male,Junior,April,Gabriela Marshall,Create fear whole tonight song summer sea.,8,New York,Q3,60564.9,Whitney Gutierrez,Sales,Completed
Present,58,4959.27,2025-04-07,Timothy Johnston,kimberly42@yahoo.com,Male,Junior,January,Kimberly Baker,Guess could lead entire happy government radio official happen federal.,4,London,Q1,110484.62,Taylor Lozano,Marketing,Completed
Present,98,4282.47,2025-02-08,Andrea Black,chad82@hotmail.com,Other,Junior,August,Jason Freeman,Tough stop site page environmental debate wife letter pick.,6,New York,Q2,60419.18,Thomas Suarez,Marketing,Pending
Absent,76,3520.73,2025-03-12,Clinton Cline,bishopmichael@yahoo.com,Male,Senior,November,Tyler Clarke,Clear industry still arrive condition seven majority.,1,Mumbai,Q2,39117.95,Joshua Parker,Support,Pending
Absent,71,4153.86,2025-03-21,Christopher Olson,garciajames@cantrell-schwartz.com,Other,Mid,August,Eddie Smith,Mention degree couple off require bill fund.,3,Mumbai,Q4,62389.72,Daniel Figueroa,Marketing,In Progress
Present,30,4924.39,2025-05-10,Katherine Garcia,derek86@yahoo.com,Other,Senior,June,Paul Shea,Improve treatment up fish follow interesting mother religious onto relationship return capital sing.,7,Mumbai,Q3,92287.35,Christopher James,Support,In Progress
Absent,23,2382.21,2025-03-23,Lisa Sanchez,davidadams@townsend-mendoza.com,Female,Mid,June,Stephanie Hudson,Determine suffer seat small same under provide consider travel turn western hard until.,5,Sydney,Q3,116421.22,Anthony Jackson,Development,In Progress
Absent,24,1124.73,2025-03-01,Eric Rogers,morrissharon@kim.com,Male,Mid,August,Michael Jackson,Include important leave if every bit require eye hard nothing official.,7,Mumbai,Q2,81605.6,Mrs. Kathryn Miller DVM,Marketing,In Progress
Absent,89,1699.08,2025-05-03,Noah Perez,rgreen@robles.net,Female,Lead,February,Robert Byrd,Exactly arrive clearly general yard only.,4,New York,Q3,99634.89,Julie Holt,Support,Pending
Present,8,2905.04,2025-01-18,Jessica Sandoval,imartinez@moore-gonzalez.net,Male,Lead,July,Kayla Ruiz,Seek hope ball leave chance send fall itself off central cell level court.,7,Sydney,Q4,116179.58,Nicole Barnes,Sales,Pending
Present,100,4401.26,2025-03-02,Robert Glover,taylorsean@hotmail.com,Female,Lead,March,Mark Powers,Happy beyond evening seat build able follow line win Republican minute.,9,London,Q1,90072.71,Juan Garcia,HR,Pending
Present,88,3948.36,2025-05-03,Amy Campbell,wrightscott@henderson-pierce.com,Female,Junior,October,Catherine Rosales,Impact board couple relationship need western soon travel seven national treat.,9,Mumbai,Q2,112174.55,Gloria Diaz,Marketing,Pending
Absent,12,4510.55,2025-03-19,Jacob Cisneros,jessicagonzales@yahoo.com,Other,Mid,April,Stephanie Mcfarland,Behavior probably own trouble law cell improve job fear yard.,6,Tokyo,Q2,105378.79,Brandon Harrison,Sales,In Progress
Present,49,2339.98,2025-01-10,Norma Barrett,everettmandy@cortez.com,Female,Senior,February,Lisa Miles,Without space various arm space point building question record.,1,Sydney,Q3,61608.12,Alex Wolfe,HR,Completed
Absent,24,3032.13,2025-01-29,Courtney Shaw,kristyscott@douglas.biz,Other,Lead,February,Luis Best,Senior for itself career happen course protect PM table.,10,Tokyo,Q2,90232.99,Sonya Miranda,Sales,In Progress
Absent,94,2381.16,2025-02-06,Troy Ford,jason67@stanley-crawford.com,Other,Senior,July,Connie Taylor,Significant race say person create civil sound artist human good.,3,New York,Q4,60666.82,Kaitlyn Williams,Support,Pending
Present,73,2155.48,2025-01-01,Christopher Morgan,marybutler@holder-solis.info,Female,Lead,September,David Munoz,Source middle feeling hair party manage kind deep should rest current.,6,Sydney,Q2,106370.03,Blake Maddox,HR,Completed
Present,85,4790.2,2025-05-10,Brianna Brown,brandonmorales@sanchez.com,Other,Mid,January,Linda Johnson,Knowledge these second plan someone while hand there mind including bad.,4,Sydney,Q4,96885.5,Dr. Karen Ryan,HR,In Progress
Present,93,2044.27,2025-04-07,Joshua Green,jocelyn96@gmail.com,Other,Mid,August,Mark White,Sign or return international five upon meet significant foreign night food.,10,Mumbai,Q3,71708.45,Steven Thomas,Development,In Progress
Absent,59,1800.95,2025-03-14,Rachel Nguyen,changdarlene@hotmail.com,Male,Junior,August,Gina Gardner,Church bill again town quality art finally at not meeting wear own your.,2,London,Q1,43948.88,Daniel Martinez,Marketing,Completed
Absent,10,1817.21,2025-02-25,Susan Glover,villarrealpamela@richardson-hines.net,Female,Senior,January,Jose Stewart,Science about feeling since official thousand think air herself government skill choice including.,2,Sydney,Q3,70363.96,Hector Mcgee,Support,Completed
Present,53,4526.37,2025-04-10,Jordan Hudson,mckinneymaria@gmail.com,Female,Mid,July,Sean Valdez,Suddenly player bed control low commercial available federal authority such late.,2,New York,Q1,58880.2,Dr. Matthew Garcia DDS,Sales,Pending
Present,26,2131.51,2025-04-12,Deborah Johnson,greenaustin@reese.com,Male,Senior,July,Darlene Mahoney,Fly same spend chair project true drop.,1,Sydney,Q4,39719.39,Jonathan Carroll,Support,Pending
Present,86,4738.49,2025-03-12,Danielle Manning,jonathan30@gmail.com,Male,Senior,July,Lisa Wilson,Story relationship late yourself suggest fill against ahead language individual choice current.,10,Mumbai,Q2,103799.58,Sarah Rubio,Development,Pending
Present,74,3660.15,2025-05-05,Deanna Harris MD,devin73@gmail.com,Female,Mid,January,Mr. Gary Willis,Get claim entire end report memory beat main.,5,London,Q2,53683.77,Christina Smith,Sales,In Progress
Present,2,1572.85,2025-02-01,Jessica Cruz,wagnermichael@gmail.com,Other,Lead,January,Jackson James,Claim three since power product executive seat ability though listen.,9,Sydney,Q2,69809.06,Justin Conrad,HR,Completed
Present,65,1625.98,2025-04-02,Christine Fowler,perezemma@caldwell.net,Male,Junior,November,Alicia Kline,Nation money consider rule pass still part generation family once.,6,New York,Q2,94500.14,Alexander Williams,Development,In Progress
Absent,42,2940.9,2025-01-02,William Davies,dwaynecortez@gmail.com,Other,Senior,June,Kristopher Riddle,Value close visit would camera tend hospital memory.,8,Mumbai,Q2,80292.17,Alyssa Gomez,HR,In Progress
Absent,45,1139.32,2025-03-29,Bill Mueller,ushelton@long.biz,Male,Lead,January,Ashley Gibson,Behavior so thank strong concern movement or keep information tonight they what lot.,9,London,Q3,88746.12,Nicole Mccann,Marketing,Pending
Absent,31,1910.87,2025-03-07,Christina Neal,jonesmeghan@sullivan.com,Male,Senior,May,Selena Wright,Science new series understand real phone detail including management into left official six final.,8,New York,Q2,86027.52,Shelly Hogan,HR,Pending
Absent,5,3718.75,2025-02-07,Tammy Howard,julian55@yahoo.com,Other,Lead,April,Allison Vega,Those thus summer final evidence compare structure lead media would.,2,Tokyo,Q3,46727.52,Joseph Spence,Support,Pending
Present,0,3600.57,2025-01-18,Susan Diaz,johnelliott@williams.com,Female,Mid,July,Kelly Klein,Reduce good positive daughter operation car fly war.,9,New York,Q1,57030.08,Peter Odom,Marketing,Completed
Absent,9,2425.17,2025-02-05,James Hernandez,qharvey@yahoo.com,Male,Mid,March,Clinton Lee,Society yeah born everything rule list bad rate.,9,London,Q4,47455.77,Alicia Oliver,Support,In Progress
Present,95,4077.19,2025-02-10,Andrew Mcdaniel,gracebrown@barnett-yang.com,Other,Senior,July,Rita Gutierrez,Century bad reason first tree fine.,8,London,Q4,116105.79,Anthony Powell,Support,Pending
Present,52,2454.52,2025-01-23,Joel Schwartz,brian91@gonzalez-mccullough.com,Other,Lead,January,Samantha Lee,Bit up author easy floor decision soon against small.,7,Mumbai,Q4,51888.09,Elizabeth Kennedy,Marketing,Pending
Absent,70,1669.77,2025-01-16,Katrina Brown,warddominique@mathews-sullivan.com,Other,Mid,June,Robert Mckee,Line rock learn nature between through population.,6,Sydney,Q2,38928.35,Drew Adkins,Marketing,Completed
Present,8,2873.41,2025-01-12,Robert Pierce,vhuang@martinez.com,Female,Junior,September,Krista Jackson,Contain again himself hold chair to.,6,Sydney,Q4,92135.8,Natalie Weaver,HR,Completed
Present,89,3783.71,2025-04-03,April Smith,zachary88@gmail.com,Female,Mid,March,Stephanie Douglas,The subject determine oil director others ability decide.,1,Tokyo,Q2,33533.84,Jonathan Mccall,Sales,In Progress
Present,67,2850.64,2025-04-26,Ann Contreras,alan02@moss-christensen.com,Other,Mid,October,Brianna Moss,Hand remain member letter series particularly local center loss.,8,Sydney,Q3,62029.89,Jose Gonzalez,Marketing,In Progress
Absent,46,3159.34,2025-04-30,Carol Price,djohnson@green.org,Other,Mid,January,James Owens,Prove someone middle stop large director writer or service industry least me city.,3,London,Q2,102460.94,Angel Beard,Sales,Pending
Absent,20,3572.07,2025-04-22,Caleb Patterson,nicole27@white.info,Other,Junior,April,Yvonne Davidson,Special key popular while personal increase else girl gas.,3,Sydney,Q4,84657.29,Rebecca Caldwell,Development,In Progress
Absent,83,4753.12,2025-04-10,James Stephenson,maureengarcia@wright-reid.com,Other,Mid,August,Victor Hensley,Agency quickly few actually food physical no.,9,Mumbai,Q1,33378.89,Lindsay Stein,Marketing,Pending
Absent,92,3417.8,2025-04-13,Mary Sherman,wrightheidi@yahoo.com,Male,Senior,June,Carla Roberts,Rest until feeling great let care go start half.,3,New York,Q3,113668.25,Eric Jackson,Development,Completed
Absent,74,3907.24,2025-02-10,Carla Washington,bauermelissa@dyer-rodriguez.com,Other,Lead,October,Barbara Grant,Happy because mission watch six impact.,1,New York,Q4,101960.38,Robert Kelley,Support,Pending
Absent,56,3576.12,2025-04-28,Joseph Stewart,melinda24@hotmail.com,Male,Senior,July,Mariah Young,Claim much door before in stand growth.,9,Mumbai,Q4,106848.55,Barbara Whitehead,HR,In Progress
Absent,63,3994.11,2025-03-05,Jessica Willis,jonathansmith@yahoo.com,Male,Lead,April,Katherine Rodgers,Remember she free mission sister far cut next white partner total network.,6,Mumbai,Q2,34552.0,Amy Lee,Marketing,In Progress
Absent,66,1795.63,2025-04-28,Lydia Clay,xlivingston@hotmail.com,Male,Lead,January,Heidi Murphy,Member open again avoid story person whether deal hospital election little.,1,London,Q2,116881.67,Kenneth Booth,Support,In Progress
Absent,20,2137.85,2025-02-24,Joshua Roberts,johnwilliams@fields.com,Male,Junior,August,Claudia Richardson,Daughter three still enter career manage their really call into.,8,New York,Q4,37145.64,Jill Rodriguez,Sales,Completed
Present,76,2862.77,2025-04-14,Scott Davis,kroy@hayes-moore.com,Female,Senior,October,Anthony Thornton,Many its their employee test clearly fight church serve.,4,Mumbai,Q3,34149.44,Kimberly Kelly,Support,Pending
Present,28,4560.44,2025-04-01,Nicole Wolfe,george54@hotmail.com,Other,Senior,May,Ryan Thomas,Environmental look four rate country three.,7,New York,Q2,62046.2,Jessica Velasquez,Support,Completed
Absent,94,1098.4,2025-01-27,Elizabeth Ellis,lharrell@kelly.biz,Male,Junior,November,Danielle Salinas,Quickly animal blue great throw marriage.,9,Sydney,Q1,112155.53,Ana Scott,Sales,In Progress
Absent,47,1560.44,2025-01-20,Dominic Copeland,joseph47@yahoo.com,Other,Junior,April,Richard Davis,Brother tell special administration get whole economic cut.,6,Tokyo,Q3,107824.76,Stephanie West,Sales,In Progress
Absent,96,1878.81,2025-03-30,Nicholas Mercer,marywood@wagner.com,Female,Mid,June,Kimberly Jackson,Money church can recently tough win behind vote eye region.,6,Tokyo,Q4,58579.48,Sara Whitney,Sales,Pending
Absent,42,3688.58,2025-05-13,Casey Davis,jgoodman@gmail.com,Male,Junior,September,Todd Mitchell,Standard chair hold social politics listen western best third front education them prepare.,2,New York,Q3,75127.45,Cody Cox,HR,Completed
Present,88,2297.92,2025-04-20,Gary Stephens,lauren72@gmail.com,Male,Senior,October,Brooke Vasquez,Republican style rate change heavy easy.,7,Tokyo,Q2,118583.11,Kathleen Lynch,Sales,Pending
Absent,82,2287.51,2025-04-19,Jessica Good,amandaerickson@flores.com,Other,Senior,October,Amber Ellis,Raise project imagine professor fast window type half.,4,Sydney,Q4,115533.31,Alexander Davis,Marketing,Completed
Present,50,2218.33,2025-01-22,James Chambers,iwoodard@hotmail.com,Female,Junior,July,Ann Wu,Usually save relationship grow power century employee degree behavior performance set idea hotel.,1,Sydney,Q2,109651.67,William Hernandez,HR,Pending
Absent,17,4281.5,2025-02-07,Jacob Walker,jacob18@hotmail.com,Female,Lead,April,Dennis Orozco,Issue machine serve his let break treat road.,7,London,Q1,84306.14,Rodney Morgan,Sales,In Progress
